Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/14/2020,425,3,16,63,104,92,65,57,27,9,8,0,221,202,2,187,9,61,84,7,77,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,4,0,1,2,4,2,2,0,7,9,0,8,0,5,3,0,0
04/18/2020,535,39,163,12,89,101,96,90,81,44,22,0,244,286,5,179,17,160,60,22,97,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,36,39,27,17,0,61,102,0,53,4,73,22,9,2
09/17/2020,385,0,17,38,120,88,51,40,29,10,9,0,186,197,2,127,12,45,108,9,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,5,3,1,0,0,7,10,0,5,0,3,8,1,0
03/29/2020,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,54,11,145,39,10,23,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,5,12,25,23,27,24,14,0,57,73,0,21,3,92,11,2,1
05/08/2020,924,44,92,52,169,191,196,153,85,44,34,0,441,464,19,435,16,138,77,43,215,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,7,8,9,19,15,13,21,0,43,49,0,35,2,35,12,6,2
08/08/2020,176,3,11,22,55,27,32,18,14,3,5,0,94,80,2,66,6,38,34,8,24,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,3,1,3,0,4,7,0,5,1,5,0,0,0
08/31/2020,405,2,25,58,118,67,59,50,29,14,10,0,213,190,2,180,4,60,73,15,73,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,2,5,0,4,3,3,2,6,0,13,11,1,5,1,14,3,2,0
03/14/2020,31,0,11,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,8,3,0,3,0,5,3,0,0
06/19/2020,219,15,32,28,69,38,28,24,16,10,6,0,111,103,5,87,2,48,27,7,48,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,3,3,2,4,5,7,4,4,0,16,16,0,9,0,16,5,0,2
09/26/2020,134,3,,14,33,35,18,23,7,4,0,0,62,72,0,53,3,6,39,8,25,0,0,1,0,1,1,0,0,0,0,3,0,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,
08/12/2020,434,2,23,51,119,94,72,54,29,9,6,0,224,207,3,176,1,81,90,20,66,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,1,3,4,8,3,2,0,10,13,0,10,0,8,3,1,1
09/23/2020,366,3,15,46,112,83,52,37,26,5,5,0,172,183,11,136,4,37,59,20,110,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,1,0,0,0,1,3,4,2,2,2,1,0,10,5,0,6,0,2,6,0,1
03/28/2020,252,4,133,2,28,54,38,45,38,28,19,0,138,113,1,37,5,135,43,10,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,11,17,33,21,23,22,0,71,62,0,22,3,85,16,6,1
03/16/2020,78,1,17,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,3,2,2,1,0,4,13,0,2,0,11,4,0,0
06/11/2020,204,10,23,19,65,27,29,32,19,9,4,0,107,92,5,98,3,31,25,5,42,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,0,4,4,2,5,3,2,3,0,7,16,0,12,0,8,3,0,0
07/27/2020,365,1,15,51,102,68,50,40,30,14,10,0,193,168,4,173,12,80,52,10,38,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,1,4,0,2,3,0,7,8,0,4,2,6,2,0,1
08/15/2020,224,5,13,18,64,41,29,35,22,11,2,2,104,116,4,76,7,51,60,6,24,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,0,2,2,0,3,0,5,1,0,5,8,0,3,0,7,3,0,0
07/29/2020,445,3,13,56,131,95,67,50,28,12,6,0,230,208,7,180,7,98,87,19,54,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,5,1,2,0,0,0,3,10,0,5,0,4,2,2,0
07/30/2020,341,2,12,49,77,80,49,50,25,7,4,0,175,165,1,155,11,72,56,8,39,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,1,1,1,2,1,4,1,0,6,6,0,4,1,4,3,0,0
04/05/2020,292,26,146,3,31,50,49,73,42,20,24,0,127,162,3,71,11,109,54,11,36,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,11,24,35,25,25,23,0,56,89,1,31,9,80,17,6,3
